Calificacion general;Asistencia;Fecha;Taller;Sede;Escuela;Carrera
100;100;25-04-2026;Excel;SB;TURISMO;TURISMO Y HOTELERIA
;;16-04-2026;Excel;SB;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;16-04-2026;Excel;SB;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
100;100;16-04-2026;Excel;PM;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;29-04-2026;Domina la IA;PM;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;29-04-2026;Domina la IA;PM;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
100;100;25-04-2026;Excel;CO;TURISMO;GASTRONOMIA INTERNACIONAL
100;100;15-04-2026;Domina la IA;CO;TURISMO;ECOTURISMO
;;07-04-2026;Excel;CO;TURISMO;TURISMO Y HOTELERIA
;;16-04-2026;Excel;CO;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;16-04-2026;Excel;CO;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;16-04-2026;Excel;CO;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;15-04-2026;Domina la IA;CO;TURISMO;GASTRONOMIA INTERNACIONAL
;;29-04-2026;Domina la IA;CO;TURISMO;GASTRONOMIA INTERNACIONAL
100;100;16-04-2026;Excel;AV;TURISMO;ECOTURISMO
100;100;16-04-2026;Excel;AV;TURISMO;TURISMO Y HOTELERIA
100;100;16-04-2026;Excel;AV;TURISMO;TURISMO Y HOTELERIA
100;100;16-04-2026;Excel;AV;TURISMO;ECOTURISMO
100;100;16-04-2026;Excel;AV;TURISMO;ECOTURISMO
100;100;25-04-2026;Excel;AV;TURISMO;GASTRONOMIA INTERNACIONAL
100;100;15-04-2026;Domina la IA;AV;TURISMO;GASTRONOMIA INTERNACIONAL
100;100;15-04-2026;Domina la IA;AV;TURISMO;ECOTURISMO
75;75;16-04-2026;Excel;AV;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;07-04-2026;Excel;AV;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;07-04-2026;Excel;AV;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;07-04-2026;Excel;AV;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;16-04-2026;Excel;AV;TURISMO;GASTRONOMIA INTERNACIONAL
;;16-04-2026;Excel;AV;TURISMO;GASTRONOMIA INTERNACIONAL
;;16-04-2026;Excel;AV;TURISMO;ECOTURISMO
;;16-04-2026;Excel;AV;TURISMO;GASTRONOMIA INTERNACIONAL
;;16-04-2026;Excel;AV;TURISMO;ECOTURISMO
;;16-04-2026;Excel;AV;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;16-04-2026;Excel;AV;TURISMO;ECOTURISMO
;;16-04-2026;Excel;AV;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;16-04-2026;Excel;AV;TURISMO;GASTRONOMIA INTERNACIONAL
;;16-04-2026;Excel;AV;TURISMO;GASTRONOMIA INTERNACIONAL
;;25-04-2026;Excel;AV;TURISMO;GASTRONOMIA INTERNACIONAL
;;25-04-2026;Excel;AV;TURISMO;GASTRONOMIA INTERNACIONAL
;;25-04-2026;Excel;AV;TURISMO;GASTRONOMIA INTERNACIONAL
;;25-04-2026;Excel;AV;TURISMO;GASTRONOMIA INTERNACIONAL
;;25-04-2026;Excel;AV;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;29-04-2026;Domina la IA;AV;TURISMO;GASTRONOMIA
;;29-04-2026;Domina la IA;AV;TURISMO;TURISMO Y HOTELERIA
;;29-04-2026;Domina la IA;AV;TURISMO;ADMINISTRACION EN TURISMO Y HOSPITALIDAD MENCION
;;29-04-2026;Domina la IA;AV;TURISMO;GASTRONOMIA INTERNACIONAL
;;07-04-2026;Excel;AO;TURISMO;GASTRONOMIA
;;16-04-2026;Excel;AO;TURISMO;GASTRONOMIA
;;16-04-2026;Excel;AO;TURISMO;TECNICO EN TURISMO Y HOSPITALIDAD
;;16-04-2026;Excel;AO;TURISMO;GASTRONOMIA
;;25-04-2026;Excel;AO;TURISMO;TECNICO EN TURISMO Y HOSPITALIDAD
;;15-04-2026;Domina la IA;AO;TURISMO;GASTRONOMIA
;;15-04-2026;Domina la IA;AO;TURISMO;TECNICO EN TURISMO Y HOSPITALIDAD
100;100;15-04-2026;Domina la IA;VA;SALUD;INFORMATICA BIOMEDICA
;;15-04-2026;Domina la IA;VA;SALUD;TECNICO DE LABORATORIO CLINICO Y BANCO DE SANGRE
;;29-04-2026;Domina la IA;VA;SALUD;INFORMATICA BIOMEDICA
100;100;16-04-2026;Excel;SJ;SALUD;TECNICO EN RADIODIAGNOSTICO Y RADIOTERAPIA
75;75;29-04-2026;Domina la IA;SJ;SALUD;TECNICO DE ENFERMERIA
;;16-04-2026;Excel;SJ;SALUD;INFORMATICA BIOMEDICA
;;16-04-2026;Excel;SJ;SALUD;TECNICO EN QUIMICA Y FARMACIA
;;25-04-2026;Excel;SJ;SALUD;TECNICO DE LABORATORIO CLINICO Y BANCO DE SANGRE
;;25-04-2026;Excel;SJ;SALUD;TECNICO EN QUIMICA Y FARMACIA
;;25-04-2026;Excel;SJ;SALUD;TECNICO DE ENFERMERIA
