Calificacion general;Asistencia;Fecha;Taller;Sede;Escuela;Carrera
100;100;14-05-2026;Domina la IA;PA;DOCENTE;DOCENTE
100;100;14-05-2026;Domina la IA;SC;DOCENTE;DOCENTE
100;100;28-05-2026;Workshop S2;PA;DOCENTE;DOCENTE
75;75;27-05-2026;Canva;VA;DOCENTE;DOCENTE
;;13-05-2026;NotebookLM;AL;DOCENTE;DOCENTE
;;27-05-2026;Canva;PA;DOCENTE;DOCENTE
;;27-05-2026;Canva;VA;RECURSOS NATURALES;TECNICO VETERINARIO Y PECUARIO
;;26-05-2026;Workshop S1;PA;DOCENTE;DOCENTE
;;12-05-2026;Excel;SB;ADMINISTRATIVO;ADMINISTRATIVO
;;30-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
;;30-05-2026;Excel;VA;RECURSOS NATURALES;TECNICO VETERINARIO Y PECUARIO
100;100;12-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION GESTION DE PERSONAS
100;100;12-05-2026;Excel;MA;INGENIERIA;INGENIERIA EN MAQUINARIA Y VEHICULOS PESADOS
100;100;12-05-2026;Excel;AO;INFORMATICA Y TELECOMUNICACIONES;INGENIERIA EN INFORMATICA
100;100;12-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
100;100;12-05-2026;Excel;AO;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION FINANZAS
100;100;12-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;AUDITORIA
100;100;12-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN ADMINISTRACION MENCION GESTION DE PERSONAS
100;100;12-05-2026;Excel;PV;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN COMERCIO EXTERIOR
100;100;12-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;AUDITORIA
100;100;12-05-2026;Excel;AV;INFORMATICA Y TELECOMUNICACIONES;INGENIERIA EN INFORMATICA
100;100;12-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;TECNICO EN MARKETING
100;100;12-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;AUDITORIA
100;100;12-05-2026;Excel;MA;INGENIERIA;INGENIERIA EN ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL
100;100;12-05-2026;Excel;AO;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
100;100;12-05-2026;Excel;CO;INFORMATICA Y TELECOMUNICACIONES;INGENIERIA EN INFORMATICA
100;100;12-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;AUDITORIA
100;100;12-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;AUDITORIA
100;100;12-05-2026;Excel;AL;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
100;100;12-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;TECNICO EN MARKETING
100;100;30-05-2026;Excel;VA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
100;100;30-05-2026;Excel;VM;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
100;100;30-05-2026;Excel;PO;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
100;100;30-05-2026;Excel;MA;ADMINISTRACION Y NEGOCIOS;INGENIERIA EN GESTION LOGISTICA
100;100;30-05-2026;Excel;MA;INGENIERIA;INGENIERIA EN MAQUINARIA Y VEHICULOS PESADOS
